id,nacionalidad,tipo_sonido,cant_jug,fichas_max,salon,game
1,China,STEREO,1,365,Salon 2021,Metal Slug
2,China,STEREO,1,280,Salon 2,Mortal Kombat
3,Philippines,STEREO,5,414,Salon Carreras,Bubble Bobble
4,United States,STEREO,3,315,Salon 6,Mortal Kombat
5,China,STEREO,5,443,Salon 3,Tetris
6,Indonesia,STEREO,2,481,Salon Retro,Mortal Kombat
7,Indonesia,MONO,2,428,Salon 1,Bubble Bobble
8,Japan,MONO,2,396,Salon 1,Space Invaders
9,Russia,MONO,5,498,Salon 2021,Out Run
10,Indonesia,STEREO,2,320,Salon 2021,Virtua Cop
11,China,MONO,4,278,Salon Carreras,Space Invaders
12,Portugal,STEREO,1,476,Salon 6,Frogger
13,Philippines,MONO,5,124,Salon Retro,Tron
14,Indonesia,STEREO,2,347,Salon Carreras,Metal Slug
15,Sweden,STEREO,3,434,Salon 3,Out Run
16,Russia,MONO,1,306,Salon VR,Metal Slug
17,Madagascar,MONO,1,333,Salon 6,Out Run
18,Sweden,MONO,2,380,Salon 2021,Virtua Cop
19,Ethiopia,MONO,2,105,Salon 6,Virtua Cop
20,Brazil,MONO,3,343,Salon 3,Pong
21,China,MONO,1,225,Salon 2,Tron
22,Philippines,STEREO,3,456,Salon 6,Bubble Bobble
23,Belarus,STEREO,2,415,Salon 3,Space Invaders
24,Sri Lanka,STEREO,5,333,Salon 1,Virtua Cop
25,China,STEREO,3,284,Salon VR,Arkanoid
26,Cyprus,STEREO,3,482,Salon Retro,Bubble Bobble
27,Cuba,MONO,3,196,Salon VR,Out Run
28,Sweden,MONO,2,147,Salon Retro,Asteroids
29,Mauritius,STEREO,4,393,Salon 1,Double Dragon
30,France,MONO,4,480,Salon 1,Asteroids
31,Kazakhstan,MONO,3,309,Salon 3,Tron
32,Afghanistan,STEREO,3,116,Salon 3,Pacman
33,China,STEREO,1,406,Salon 3,Street Fighter II
34,Russia,STEREO,5,301,Salon 6,Pacman
35,Indonesia,STEREO,4,207,Salon Retro,Street Fighter II
36,Indonesia,STEREO,5,469,Salon 2021,Asteroids
37,Indonesia,STEREO,5,239,Salon Retro,Pong
38,Philippines,MONO,2,187,Salon 5,Castelvania
39,China,STEREO,3,392,Salon 2021,Galaga
40,Greece,MONO,5,223,Salon 4,Pong
41,Ireland,MONO,4,420,Salon Carreras,Pong
42,Greece,MONO,1,295,Salon 5,Tron
43,Philippines,STEREO,5,496,Salon 5,Metal Slug
44,Russia,MONO,5,151,Salon Carreras,Tetris
45,Indonesia,STEREO,3,315,Salon 6,Virtua Cop
46,China,STEREO,4,456,Salon 5,Star Wars
47,China,STEREO,1,484,Salon 2,Virtua Cop
48,Indonesia,MONO,3,372,Salon 1,Galaga
49,Colombia,MONO,1,130,Salon 2021,Double Dragon
50,Portugal,MONO,4,294,Salon 3,Bubble Bobble
51,Uganda,MONO,3,303,Salon 5,Pong
52,Paraguay,MONO,2,107,Salon 5,Space Invaders
53,Indonesia,STEREO,4,442,Salon 3,Mortal Kombat
54,Greece,MONO,2,454,Salon 2021,Virtua Cop
55,Iran,MONO,2,469,Salon VR,Galaga
56,Philippines,MONO,1,389,Salon 3,Out Run
57,Madagascar,MONO,3,412,Salon 5,Tetris
58,China,MONO,3,338,Salon Carreras,Arkanoid
59,Philippines,STEREO,4,303,Salon Carreras,Tetris
60,Uruguay,STEREO,2,380,Salon 6,Out Run
61,Ireland,MONO,3,197,Salon 1,Tron
62,China,STEREO,5,454,Salon 1,Pacman
63,Bangladesh,STEREO,1,339,Salon 4,Mortal Kombat
64,Japan,MONO,3,260,Salon 2,Virtua Cop
65,Indonesia,MONO,4,260,Salon 1,Castelvania
66,Brazil,MONO,1,275,Salon 2,Space Invaders
67,Colombia,STEREO,1,136,Salon 6,Tetris
68,Indonesia,STEREO,1,389,Salon Carreras,Virtua Cop
69,Russia,MONO,5,113,Salon 1,Tron
70,Albania,STEREO,4,376,Salon VR,Galaga
71,Micronesia,STEREO,5,415,Salon VR,Out Run
72,Ecuador,STEREO,3,169,Salon Carreras,Metal Slug
73,China,MONO,4,167,Salon 2,Asteroids
